description,direccion,fot,irregular,medidas,esquina,barrio,frentes,pileta,urb_cerrada,posesion,urb_semicerrada,preventa,indiviso,a_demoler,es_multioferta,es_monetizable,loteo_ph
"Lote en Venta, con quincho y pileta, de 10 x 60 metros.",,,,10 x 60,,,,True,,,,,,,,True,
"TERRENO EN VENTA con amplio chalet a refaccionar, en inmejorable zona de Martínez entre Av. Libertador y el río.Hall de recepción, importante living con chimenea y comedor ppal con pisos de marmol, escritorio en PA o 5to dormitorio. 4 dormitorios (1 en suite con buen vestidor), 2 baños, 2 toilettes, cocina y comedor diario, dependencia de servicio y lavadero en PB. Gran Playroom en PA, terraza, garaje para 3 autos. Jardín de 24 m x 20 m con quincho, parrilla, vestuarios, casa de caseros y pileta.Zona muy tranquila.Estado original. Estructura de hormigón independiente que permite flexibilidad de distribución interna. Calefacción por conducto de aire.Vigilancia. ",,,,24 x 20,,,,True,,,,,,,,True,
"Avenida 44 entre 29 y 30, frente al Colegio y Parroquia San Cayetano. APTO DESTINO VIVIENDA MULTIFAMILIAR. APTO DESTINO COMERCIAL. Lote de 1.127 m2. Con un frente aproximado de 24 metros y un fondo de 48 metros. Zonificación: UC1 Posee una construcción de 150 m2 aproximados que, a los fines de vivienda única y residencial, necesita refaccionarse. Y una pileta de 12 x 6 m2. Además, al frente del lote pequeña construcción en dos plantas, tipo oficina, de alrededor de 50 m2 totales. La propiedad original se encuentra sujeta al Régimen de PH y tiene aprobado mediante Reglamento de Copropiedad la ""...incorporación de nuevos polígonos a la UF 1 para eventualmente generar otras unidades funcionales y todo aquello que fuera autorizado por reglamentación vigente..."". El lote original es de 32 x 48 m2 Se comercializa la UF 1 con superfiice de 24 x 48",Avenida 44 entre 29 y 30,,,32 x 48,,,,True,,,,,,True,,,True
"Espectacular casa de dos plantas emplazada en un jardin de 1800 m2 , el cual se encuentra en el centro del barrio! Esta propiedad posee un gran living apaisado y comedor , un toilette de de recepción y una cocina con comedor diario y family .Tiene además un Lavadero independiente y una habitacion de servicio con bano completo. La casa cuenta con un dormitorio principal en suite y dos dormitorios que están asistidos por un bano completo.En la planta alta encontramos un gran playroom desde el cual podemos disfrutar de una lindisimas vista al Impresionante Jardin y a la pileta , la cual es de 8 x 4 ,posee playa humeda y baldosas térmicas.Cabe destacar la zona del fogonero , este tiene un banco de material y una canchita de futbol, ideal para disfrutar buenos momentos! Las expensas incluyen la cuota social, y el agua. El Canon de ingreso en pesos equivale a 27 expensas. Se acepta en parte de pago PH, Dpto, velero o casa pequeña en zona norte desde tigre a Vicente Lopez. El Country posee una forestación ….",,,,,,,,,True,,,,,,,True,
"Terreno a la venta (Lote 8 Manzana n°1), dimensiones irregulares con frente a tres calles principales, y vistas al parque verde central del predio. Son 850 m2 de superficie total. El loteo cuenta con frente y acceso directo sobre Ruta n° 1, y bajada también directa al canal por donde se accede al río",Lote 8 Manzana n°1,,True,,,,3,,,,,,,,,,
"Excelente propiedad sobre esquina con un frente lineal de 162 metros y salida a tres calles, Cabildo, Guatemala y Pilcomayo. Superficie de terreno 6200 m2. Contrapiso para camiones en casi su totalidad. Sectores descubiertos a reciclar. Zona industrial. Apto todo destino. FOT residencial: 2, FOT industrial: 1.5, FOS: 60% max.",,FOT residencial: 2. FOT industrial: 1.5,,,True,,3,,,,,,,,,True,
"Terreno de triple frente en venta, entrada por Av San Martín (doble frente) y por Miguel ángel (frente simple). La de Av San Martín tiene 17.38 de frente X 48.55 de fondo, con posibilidad de construir 4032.2 m2 vendibles distribuidos en 7 pisos.",,,,17.38 x 48.55,,,3,,,,,,,,,,
Frente triple a Rocha de 28.39 mts con fondo de 34.77 mts. Frente a Mazza de 12.31 mts con fondo de 50.50 mts. UF 1 en PH 3B: 584 mts. UF 2 en lote propio 366 mts. UF 3 en lote propio 674 mts. Sumatoria mts de tierra 1624 mts. Zonificación: Ex R6 con FOT 2.4 y FOS 0.6.,,FOT 2.4,,,,,3,,,,,,,,,,True
"Excepcional lote céntrico con salida a 3 calles, con 14.15 metros de frente por Diagonal España, otros 30 metros por Córdoba y 10 metros por Teniente Ibáñez, a 250 metros de la Avenida Argentina. Superficie terreno: 1.177.90 m2. Superficie cubierta: 695.42 m2. Superficie semicubierta: 41.89 m2. El terreno es irregular, ideal para construcción en altura de complejo habitacional, comercial, centro médico y/o educativo. Zonificación: Zona Corredor Central CC2 y CP2. FOS: 0.85 %. Altura máxima: 42 metros.",,,True,,,,3,,,,,,,True,,,
"Ecopueblo Alvear. Único lote disponible con salida a dos calles. Manzana 18 Lote 506. Lote irregular de 315.40 m2. Cuenta con un frente al norte de 10 mts, 34.76 mts en su lado este, 11.89 en su lado sur, y 28.32 en su lado oeste.",Manzana 18 Lote 506,,True,,,,2,,,,,,,,,,
"Casa en venta en la zona sur de la ciudad. Ubicación: Jose Maria Eguiluz n° 663. Barrio San Fernando. La casa se posee un terreno amplio de 413 m2, y tiene acceso por 2 calles, por adelante con calle Jose Maria Eguiluz y por atras con calle Jose Amenabar. Ideal proyecto e inversión",,,,,,Barrio San Fernando,2,,,,,,,,,,
"Lote con salida a dos calles, ubicado en la calle Tejedor entre Av. José María Moreno y calle Beauchef con 17 metros de frente. Se encuentra a cuatro cuadras de Av. Pedro Goyena; dos de la Av. Directorio. Subte E y varias lineas de colectivos. Acceso a autopista. Superficie total: 1700 m2. Superficie construible: 5720 aproximadamente.",calle Tejedor entre Av. José María Moreno y calle Beauchef,,,,,,2,,,,,,,,,,
Cuatro Parcelas en conjunto. 30 de frente x 100 fondo con frente calle 25 de Mayo y San Martín (dos frentes) entre Burmeister y Mosconi. sobre asfalto. con todos los servicios.,calle 25 de Mayo y San Martín,,,30 x 100,,,2,,,,,,,,,,
